,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
59,Chile,A - Spain,2013-09-10,Int,D 2-2,Sub-Off 90 min,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
58,Barcelona,H - Sevilla,2013-09-14,La Liga,W 3-2,Sub-On 62 min,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
57,Barcelona,H - Ajax,2013-09-18,UCL,W 4-0,Started,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
56,Barcelona,A - Rayo,2013-09-21,La Liga,W 0-4,Sub-On 79 min,,,,,,,,
55,Barcelona,H - R Sociedad,2013-09-24,La Liga,W 4-1,Started,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0
54,Barcelona,A - Almeria,2013-09-28,La Liga,W 0-2,Sub-Off 80 min,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0
53,Barcelona,A - Celtic,2013-10-01,UCL,W 0-1,Sub-On 73 min,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
52,Barcelona,H - Valladolid,2013-10-05,La Liga,W 4-1,Started,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0
51,Chile,A - Colombia,2013-10-11,WCQ,D 3-3,Started,2.0,0.0,4.0,3.0,3.0,9.0,0.0,0.0
50,Chile,H - Ecuador,2013-10-15,WCQ,W 2-1,Started,1.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0
49,Barcelona,A - Milan,2013-10-22,UCL,D 1-1,Sub-Off 73 min,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0
48,Barcelona,H - Real Madrid,2013-10-26,La Liga,W 2-1,Sub-On 69 min,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
47,Barcelona,A - Celta Vigo,2013-10-29,La Liga,W 0-3,Sub-Off 82 min,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
46,Barcelona,H - Espanyol,2013-11-01,La Liga,W 1-0,Sub-Off 82 min,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0
45,Barcelona,H - Milan,2013-11-06,UCL,W 3-1,Started,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0
44,Barcelona,A - Betis,2013-11-10,La Liga,W 1-4,Unused Substitute,,,,,,,,
43,Chile,A - England,2013-11-15,Int,W 0-2,Started,2.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0
42,Chile,A - Brazil,2013-11-19,Int,L 2-1,Started,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
41,Barcelona,H - Granada,2013-11-23,La Liga,W 4-0,Sub-Off 73 min,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
40,Barcelona,A - Athletic,2013-12-01,La Liga,L 1-0,Started,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
39,Barcelona,A - FC Cartagena,2013-12-06,Esp Cup,W 1-4,Sub-Off 78 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Barcelona,H - Celtic,2013-12-11,UCL,W 6-1,Sub-Off 62 min,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
37,Barcelona,H - Villarreal,2013-12-14,La Liga,W 2-1,Sub-Off 83 min,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
36,Barcelona,H - FC Cartagena,2013-12-17,Esp Cup,W 3-0,Sub-On 76 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Barcelona,A - Getafe,2013-12-22,La Liga,W 2-5,Started,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
34,Barcelona,H - Elche,2014-01-05,La Liga,W 4-0,Sub-Off 73 min,3.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0
33,Barcelona,H - Getafe,2014-01-08,Esp Cup,W 4-0,Sub-Off 75 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Barcelona,A - Atletico,2014-01-11,La Liga,D 0-0,Sub-Off 66 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,Barcelona,A - Getafe,2014-01-16,Esp Cup,W 0-2,Sub-On 28 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Barcelona,A - Levante,2014-01-19,La Liga,D 1-1,Started,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
29,Barcelona,A - Levante,2014-01-22,Esp Cup,W 1-4,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Barcelona,H - Málaga,2014-01-26,La Liga,W 3-0,Sub-Off 86 min,1.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0
27,Barcelona,H - Levante,2014-01-29,Esp Cup,W 5-1,Sub-Off 78 min,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Barcelona,H - Valencia,2014-02-01,La Liga,L 2-3,Started,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0
25,Barcelona,H - R Sociedad,2014-02-05,Esp Cup,W 2-0,Sub-Off 74 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Barcelona,A - Sevilla,2014-02-09,La Liga,W 1-4,Sub-Off 88 min,1.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0
23,Barcelona,A - R Sociedad,2014-02-12,Esp Cup,W 1-1,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Barcelona,H - Rayo,2014-02-15,La Liga,W 6-0,Started,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
21,Barcelona,A - Man City,2014-02-18,UCL,W 0-2,Sub-Off 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
