,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
129,Barcelona,H - Sevilla,2013-09-14,La Liga,W 3-2,Sub-On 62 min,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
130,Barcelona,H - Ajax,2013-09-18,UCL,W 4-0,Started,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
131,Barcelona,A - Rayo,2013-09-21,La Liga,W 0-4,Sub-On 79 min,,,,,,,,
132,Barcelona,H - R Sociedad,2013-09-24,La Liga,W 4-1,Started,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0
133,Barcelona,A - Almeria,2013-09-28,La Liga,W 0-2,Sub-Off 80 min,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0
134,Barcelona,A - Celtic,2013-10-01,UCL,W 0-1,Sub-On 73 min,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
135,Barcelona,H - Valladolid,2013-10-05,La Liga,W 4-1,Started,2.0,1.0,4.0,3.0,0.0,4.0,0.0,0.0
136,Chile,A - Colombia,2013-10-11,WCQ,D 3-3,Started,2.0,0.0,4.0,3.0,3.0,9.0,0.0,0.0
137,Chile,H - Ecuador,2013-10-15,WCQ,W 2-1,Started,1.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0
138,Barcelona,A - Milan,2013-10-22,UCL,D 1-1,Sub-Off 73 min,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0
139,Barcelona,H - Real Madrid,2013-10-26,La Liga,W 2-1,Sub-On 69 min,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
140,Barcelona,A - Celta Vigo,2013-10-29,La Liga,W 0-3,Sub-Off 82 min,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
141,Barcelona,H - Espanyol,2013-11-01,La Liga,W 1-0,Sub-Off 82 min,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0
142,Barcelona,H - Milan,2013-11-06,UCL,W 3-1,Started,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0
144,Chile,A - England,2013-11-15,Int,W 0-2,Started,2.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0
145,Chile,A - Brazil,2013-11-19,Int,L 2-1,Started,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
146,Barcelona,H - Granada,2013-11-23,La Liga,W 4-0,Sub-Off 73 min,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
147,Barcelona,A - Athletic,2013-12-01,La Liga,L 1-0,Started,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
148,Barcelona,A - FC Cartagena,2013-12-06,Esp Cup,W 1-4,Sub-Off 78 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Barcelona,H - Celtic,2013-12-11,UCL,W 6-1,Sub-Off 62 min,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
150,Barcelona,H - Villarreal,2013-12-14,La Liga,W 2-1,Sub-Off 83 min,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
151,Barcelona,H - FC Cartagena,2013-12-17,Esp Cup,W 3-0,Sub-On 76 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Barcelona,A - Getafe,2013-12-22,La Liga,W 2-5,Started,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
153,Barcelona,H - Elche,2014-01-05,La Liga,W 4-0,Sub-Off 73 min,3.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0
154,Barcelona,H - Getafe,2014-01-08,Esp Cup,W 4-0,Sub-Off 75 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Barcelona,A - Atletico,2014-01-11,La Liga,D 0-0,Sub-Off 66 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,Barcelona,A - Getafe,2014-01-16,Esp Cup,W 0-2,Sub-On 28 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Barcelona,A - Levante,2014-01-19,La Liga,D 1-1,Started,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
158,Barcelona,A - Levante,2014-01-22,Esp Cup,W 1-4,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Barcelona,H - Málaga,2014-01-26,La Liga,W 3-0,Sub-Off 86 min,1.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0
160,Barcelona,H - Levante,2014-01-29,Esp Cup,W 5-1,Sub-Off 78 min,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Barcelona,H - Valencia,2014-02-01,La Liga,L 2-3,Started,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0
162,Barcelona,H - R Sociedad,2014-02-05,Esp Cup,W 2-0,Sub-Off 74 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Barcelona,A - Sevilla,2014-02-09,La Liga,W 1-4,Sub-Off 88 min,1.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0
164,Barcelona,A - R Sociedad,2014-02-12,Esp Cup,W 1-1,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Barcelona,H - Rayo,2014-02-15,La Liga,W 6-0,Started,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
166,Barcelona,A - Man City,2014-02-18,UCL,W 0-2,Sub-Off 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Barcelona,A - R Sociedad,2014-02-22,La Liga,L 3-1,Sub-On 72 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Barcelona,H - Almeria,2014-03-02,La Liga,W 4-1,Sub-Off 71 min,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
169,Chile,A - Germany,2014-03-05,Int,L 1-0,Started,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
170,Barcelona,A - Valladolid,2014-03-08,La Liga,L 1-0,Sub-On 60 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
171,Barcelona,H - Man City,2014-03-12,UCL,W 2-1,Sub-On 79 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Barcelona,H - Osasuna,2014-03-16,La Liga,W 7-0,Sub-Off 76 min,1.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0
173,Barcelona,A - Real Madrid,2014-03-23,La Liga,W 3-4,Sub-On 77 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,Barcelona,H - Celta Vigo,2014-03-26,La Liga,W 3-0,Started,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
175,Barcelona,A - Espanyol,2014-03-29,La Liga,W 0-1,Sub-On 80 min,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
176,Barcelona,H - Atletico,2014-04-01,UCL,D 1-1,Sub-On 67 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
177,Barcelona,H - Betis,2014-04-05,La Liga,W 3-1,Started,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
178,Barcelona,A - Atletico,2014-04-09,UCL,L 1-0,Sub-On 60 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Barcelona,A - Granada,2014-04-12,La Liga,L 1-0,Sub-On 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Barcelona,A - Real Madrid,2014-04-16,Esp Cup,L 2-1,Sub-On 87 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Barcelona,H - Athletic,2014-04-20,La Liga,W 2-1,Sub-Off 86 min,0.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0
182,Barcelona,A - Villarreal,2014-04-27,La Liga,W 2-3,Sub-Off 61 min,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
183,Barcelona,H - Getafe,2014-05-03,La Liga,D 2-2,Started,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
184,Barcelona,A - Elche,2014-05-11,La Liga,D 0-0,Started,0.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0
185,Barcelona,H - Atletico,2014-05-17,La Liga,D 1-1,Started,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
186,Chile,H - Egypt,2014-05-30,Int,W 3-2,Started,0.0,3.0,7.0,4.0,2.0,3.0,1.0,0.0
187,Chile,H - N Ireland,2014-06-04,Int,W 2-0,Sub-On 58 min,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0
188,Chile,H - Australia,2014-06-13,WC,W 3-1,Started,1.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0
189,Chile,A - Spain,2014-06-18,WC,W 0-2,Started,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0
190,Chile,A - Netherlands,2014-06-23,WC,L 2-0,Started,0.0,0.0,2.0,1.0,2.0,9.0,0.0,0.0
191,Chile,A - Brazil,2014-06-28,WC,L (3) 1-(2) 1,Started,1.0,0.0,2.0,1.0,2.0,7.0,0.0,0.0
192,Arsenal,H - Benfica,2014-08-02,Int,W 5-1,Sub-On 74 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Arsenal,H - Monaco,2014-08-03,Int,L 0-1,Sub-Off 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Arsenal,H - Man City,2014-08-10,Comm,W 3-0,Sub-Off 45 min,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
195,Arsenal,H - C Palace,2014-08-16,Prem,W 2-1,Started,0.0,1.0,3.0,1.0,5.0,3.0,0.0,0.0
196,Arsenal,A - Besiktas,2014-08-19,UCL,D 0-0,Sub-Off 71 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
